Building,Appartment,Energy,Temperature,Humidity
411,102,11.1,-7.845833333,46.66666667
411,103,8.6,-7.845833333,46.66666667
411,202,12.8,-7.845833333,46.66666667
411,203,11.2,-7.845833333,46.66666667
411,301,12,-7.845833333,46.66666667
411,302,17.9,-7.845833333,46.66666667
411,303,15.8,-7.845833333,46.66666667
411,401,3.4,-7.845833333,46.66666667
411,402,10.7,-7.845833333,46.66666667
411,403,7.4,-7.845833333,46.66666667
411,501,2.6,-7.845833333,46.66666667
411,502,10.9,-7.845833333,46.66666667
411,503,7.8,-7.845833333,46.66666667
411,601,18.4,-7.845833333,46.66666667
411,602,16.4,-7.845833333,46.66666667
411,603,13.5,-7.845833333,46.66666667
411,701,6.1,-7.845833333,46.66666667
411,702,17.4,-7.845833333,46.66666667
411,703,6.3,-7.845833333,46.66666667
411,801,2.1,-7.845833333,46.66666667
411,802,9.7,-7.845833333,46.66666667
411,803,10,-7.845833333,46.66666667
411,901,5.4,-7.845833333,46.66666667
411,902,9.2,-7.845833333,46.66666667
411,903,9.1,-7.845833333,46.66666667
411,1001,11.6,-7.845833333,46.66666667
411,1002,24.4,-7.845833333,46.66666667
411,1003,9.3,-7.845833333,46.66666667
411,1101,11.7,-7.845833333,46.66666667
411,1102,9.4,-7.845833333,46.66666667
411,1103,9.3,-7.845833333,46.66666667
411,1201,13.8,-7.845833333,46.66666667
411,1202,18.2,-7.845833333,46.66666667
411,1203,13.3,-7.845833333,46.66666667
411,1301,9.7,-7.845833333,46.66666667
411,1302,16.6,-7.845833333,46.66666667
411,1303,14.4,-7.845833333,46.66666667
411,1401,5.5,-7.845833333,46.66666667
411,1402,13.7,-7.845833333,46.66666667
411,1403,15,-7.845833333,46.66666667
411,1501,3.2,-7.845833333,46.66666667
411,1502,13.6,-7.845833333,46.66666667
411,1503,5.9,-7.845833333,46.66666667
411,1601,13.5,-7.845833333,46.66666667
411,1602,10.5,-7.845833333,46.66666667
411,1603,7,-7.845833333,46.66666667
411,1701,13.3,-7.845833333,46.66666667
411,1702,8.3,-7.845833333,46.66666667
411,1703,6.6,-7.845833333,46.66666667
411,1801,12.4,-7.845833333,46.66666667
411,1802,10.6,-7.845833333,46.66666667
411,1803,12.3,-7.845833333,46.66666667
411,1901,7.6,-7.845833333,46.66666667
411,1902,11,-7.845833333,46.66666667
411,1903,4.9,-7.845833333,46.66666667
411,2001,7.9,-7.845833333,46.66666667
411,2002,14.8,-7.845833333,46.66666667
411,2003,7,-7.845833333,46.66666667
411,2101,14.3,-7.845833333,46.66666667
411,2102,22.6,-7.845833333,46.66666667
411,2103,11.4,-7.845833333,46.66666667
411,2201,22.6,-7.845833333,46.66666667
411,2202,19.4,-7.845833333,46.66666667
411,2203,12.1,-7.845833333,46.66666667
411,2301,7.1,-7.845833333,46.66666667
411,2302,9.4,-7.845833333,46.66666667
411,2303,11.6,-7.845833333,46.66666667
411,2401,10.3,-7.845833333,46.66666667
411,2402,13.6,-7.845833333,46.66666667
411,2403,7.4,-7.845833333,46.66666667
411,2501,12.4,-7.845833333,46.66666667
411,2502,16.3,-7.845833333,46.66666667
411,2503,10.4,-7.845833333,46.66666667
411,102,10.9,-3.391666667,76.5
411,103,9.5,-3.391666667,76.5
411,202,13,-3.391666667,76.5
411,203,14.6,-3.391666667,76.5
411,301,10.5,-3.391666667,76.5
411,302,12.9,-3.391666667,76.5
411,303,17.2,-3.391666667,76.5
411,401,3,-3.391666667,76.5
411,402,13.9,-3.391666667,76.5
411,403,10.6,-3.391666667,76.5
411,501,2.7,-3.391666667,76.5
411,502,9.9,-3.391666667,76.5
411,503,8.9,-3.391666667,76.5
411,601,14,-3.391666667,76.5
411,602,15.5,-3.391666667,76.5
411,603,10.5,-3.391666667,76.5
411,701,6.2,-3.391666667,76.5
411,702,17,-3.391666667,76.5
411,703,9.3,-3.391666667,76.5
411,801,2.7,-3.391666667,76.5
411,802,12,-3.391666667,76.5
411,803,11.9,-3.391666667,76.5
411,901,6.5,-3.391666667,76.5
411,902,8.3,-3.391666667,76.5
411,903,8.9,-3.391666667,76.5
411,1001,11.6,-3.391666667,76.5
411,1002,21.4,-3.391666667,76.5
411,1003,8.8,-3.391666667,76.5
411,1101,6.5,-3.391666667,76.5
411,1102,9.9,-3.391666667,76.5
411,1103,9.4,-3.391666667,76.5
411,1201,12.9,-3.391666667,76.5
411,1202,20.9,-3.391666667,76.5
411,1203,13.4,-3.391666667,76.5
411,1301,12.3,-3.391666667,76.5
411,1302,13.7,-3.391666667,76.5
411,1303,14.3,-3.391666667,76.5
411,1401,5.6,-3.391666667,76.5
411,1402,15.2,-3.391666667,76.5
411,1403,22.4,-3.391666667,76.5
411,1501,3.1,-3.391666667,76.5
411,1502,13.5,-3.391666667,76.5
411,1503,10.2,-3.391666667,76.5
411,1601,13.6,-3.391666667,76.5
411,1602,3.1,-3.391666667,76.5
411,1603,6.1,-3.391666667,76.5
411,1701,11.6,-3.391666667,76.5
411,1702,8.8,-3.391666667,76.5
411,1703,8.8,-3.391666667,76.5
411,1801,12.5,-3.391666667,76.5
411,1802,11.5,-3.391666667,76.5
411,1803,11.3,-3.391666667,76.5
411,1901,8.2,-3.391666667,76.5
411,1902,13.3,-3.391666667,76.5
411,1903,4.1,-3.391666667,76.5
411,2001,6.4,-3.391666667,76.5
411,2002,15.8,-3.391666667,76.5
411,2003,8.8,-3.391666667,76.5
411,2101,14.8,-3.391666667,76.5
411,2102,17.5,-3.391666667,76.5
411,2103,11.7,-3.391666667,76.5
411,2201,21.9,-3.391666667,76.5
411,2202,10.7,-3.391666667,76.5
411,2203,8.9,-3.391666667,76.5
411,2301,5.3,-3.391666667,76.5
411,2302,9.6,-3.391666667,76.5
411,2303,16,-3.391666667,76.5
411,2401,8.8,-3.391666667,76.5
411,2402,15.4,-3.391666667,76.5
411,2403,6.9,-3.391666667,76.5
411,2501,11.8,-3.391666667,76.5
