Humidity_Seoul,Seoul_Building_Agg,Temperature_Seoul,day,dayOfWeek,hour,month,year
45,44.8,-11,1,6,1,1,2010
46,35.5,-11.1,1,6,2,1,2010
54,31.3,-12.1,1,6,3,1,2010
53,28.5,-12.3,1,6,4,1,2010
54,25.3,-12.4,1,6,5,1,2010
57,24.1,-12.4,1,6,6,1,2010
52,24.4,-12.7,1,6,7,1,2010
54,27.6,-12.6,1,6,8,1,2010
43,35.3,-11.7,1,6,9,1,2010
36,40.1,-9.1,1,6,10,1,2010
32,41.2,-8,1,6,11,1,2010
34,45.4,-6.1,1,6,12,1,2010
35,39.6,-5.4,1,6,13,1,2010
36,37.6,-4.6,1,6,14,1,2010
39,34.2,-3.7,1,6,15,1,2010
41,34.6,-4.2,1,6,16,1,2010
43,33.9,-4.6,1,6,17,1,2010
46,42.8,-5.3,1,6,18,1,2010
49,52.3,-5.2,1,6,19,1,2010
51,52.8,-4.9,1,6,20,1,2010
53,56.5,-5,1,6,21,1,2010
54,52.6,-4.8,1,6,22,1,2010
55,44,-4.6,1,6,23,1,2010
58,43.2,-4.5,1,6,24,1,2010
67,39.9,-4.7,2,7,1,1,2010
72,32.7,-4.7,2,7,2,1,2010
84,28,-4.8,2,7,3,1,2010
83,25.4,-4.5,2,7,4,1,2010
83,24.6,-4.2,2,7,5,1,2010
84,23.5,-3.9,2,7,6,1,2010
83,27.6,-3.6,2,7,7,1,2010
86,27.7,-3.2,2,7,8,1,2010
90,35.1,-3.4,2,7,9,1,2010
87,45.1,-2.9,2,7,10,1,2010
89,48.4,-2.8,2,7,11,1,2010
84,44.1,-2.1,2,7,12,1,2010
79,41.5,-0.9,2,7,13,1,2010
77,38.8,-0.1,2,7,14,1,2010
73,35.8,0,2,7,15,1,2010
77,36.3,-0.4,2,7,16,1,2010
72,37.7,-1.6,2,7,17,1,2010
63,41.7,-2.5,2,7,18,1,2010
60,48.1,-3.1,2,7,19,1,2010
63,48.3,-3.9,2,7,20,1,2010
68,55.2,-4.7,2,7,21,1,2010
73,54.8,-5.5,2,7,22,1,2010
74,52.2,-6.5,2,7,23,1,2010
65,45.4,-7.4,2,7,24,1,2010
66,43,-8,3,1,1,1,2010
65,37.5,-8.4,3,1,2,1,2010
65,31.5,-8.9,3,1,3,1,2010
63,26,-9.2,3,1,4,1,2010
66,24.4,-9.7,3,1,5,1,2010
62,23.3,-10,3,1,6,1,2010
54,25,-10.1,3,1,7,1,2010
56,27.4,-10.5,3,1,8,1,2010
54,33.3,-10.1,3,1,9,1,2010
46,39.3,-9.1,3,1,10,1,2010
44,43.1,-7.6,3,1,11,1,2010
40,44.8,-6.3,3,1,12,1,2010
38,45.2,-4.8,3,1,13,1,2010
35,41.1,-3.7,3,1,14,1,2010
36,34.8,-3.6,3,1,15,1,2010
32,37,-4,3,1,16,1,2010
37,39.4,-5,3,1,17,1,2010
37,50.3,-5.2,3,1,18,1,2010
40,57.2,-5.4,3,1,19,1,2010
46,57,-5.5,3,1,20,1,2010
49,55.6,-5.4,3,1,21,1,2010
50,59.8,-5.3,3,1,22,1,2010
50,54.3,-5.3,3,1,23,1,2010
51,50,-5.1,3,1,24,1,2010
76,39.3,-6.9,4,2,1,1,2010
79,33.6,-6.9,4,2,2,1,2010
76,27.6,-6.3,4,2,3,1,2010
68,23.8,-6.2,4,2,4,1,2010
79,23.7,-6.4,4,2,5,1,2010
90,22.8,-6.9,4,2,6,1,2010
93,31.5,-7,4,2,7,1,2010
94,39.7,-6.4,4,2,8,1,2010
94,45.2,-6.1,4,2,9,1,2010
94,51.5,-6.1,4,2,10,1,2010
94,41.8,-5.9,4,2,11,1,2010
94,44,-5.2,4,2,12,1,2010
93,41.8,-3.8,4,2,13,1,2010
92,37,-3.9,4,2,14,1,2010
91,36.8,-3.5,4,2,15,1,2010
87,35.8,-3.9,4,2,16,1,2010
86,39,-4,4,2,17,1,2010
86,40.5,-4.6,4,2,18,1,2010
84,48.7,-5.3,4,2,19,1,2010
81,57.1,-6,4,2,20,1,2010
71,57.3,-6.5,4,2,21,1,2010
73,58.3,-7,4,2,22,1,2010
71,51.6,-7.3,4,2,23,1,2010
71,45.5,-8,4,2,24,1,2010
74,39.7,-8.4,5,3,1,1,2010
76,32.7,-8.8,5,3,2,1,2010
77,26.6,-9.2,5,3,3,1,2010
75,22.8,-9.2,5,3,4,1,2010
74,25.1,-9.6,5,3,5,1,2010
73,24.5,-9.6,5,3,6,1,2010
75,30.4,-10.1,5,3,7,1,2010
76,39.4,-10.5,5,3,8,1,2010
73,42.4,-10.4,5,3,9,1,2010
70,38.6,-9.9,5,3,10,1,2010
65,36.8,-9,5,3,11,1,2010
57,38.3,-8.8,5,3,12,1,2010
55,35.4,-8.3,5,3,13,1,2010
56,36.4,-7.5,5,3,14,1,2010
55,31.1,-7.3,5,3,15,1,2010
50,30.8,-7.7,5,3,16,1,2010
55,33.9,-9,5,3,17,1,2010
57,44.1,-10,5,3,18,1,2010
58,47.9,-10.6,5,3,19,1,2010
64,53.3,-11,5,3,20,1,2010
65,57,-11.3,5,3,21,1,2010
69,52.4,-11.7,5,3,22,1,2010
72,49.5,-12.1,5,3,23,1,2010
74,43.9,-12.3,5,3,24,1,2010
75,35.7,-12.5,6,4,1,1,2010
77,29.9,-12.9,6,4,2,1,2010
77,26.7,-12.9,6,4,3,1,2010
79,22.1,-12.7,6,4,4,1,2010
79,23.2,-12.8,6,4,5,1,2010
77,26.4,-12.9,6,4,6,1,2010
76,31.1,-13.2,6,4,7,1,2010
75,40.6,-13.2,6,4,8,1,2010
70,46.7,-12.4,6,4,9,1,2010
64,36.3,-11,6,4,10,1,2010
62,36.7,-10.2,6,4,11,1,2010
56,37.5,-9.7,6,4,12,1,2010
55,38.2,-9.1,6,4,13,1,2010
50,33.3,-8.5,6,4,14,1,2010
52,30,-8.8,6,4,15,1,2010
53,31,-8.8,6,4,16,1,2010
53,31.2,-9.6,6,4,17,1,2010
59,37.5,-10.4,6,4,18,1,2010
61,42.1,-10.7,6,4,19,1,2010
62,52.9,-10.9,6,4,20,1,2010
62,54.5,-10.8,6,4,21,1,2010
64,54.4,-10.8,6,4,22,1,2010
70,51.9,-11.3,6,4,23,1,2010
71,48.2,-11.6,6,4,24,1,2010
71,40.7,-11.6,7,5,1,1,2010
72,27.4,-11.9,7,5,2,1,2010
