,loss,mse,mae,val_loss,val_mse,val_mae
0,0.09947080165147781,0.09947080165147781,0.2499304562807083,0.027363236993551254,0.027363236993551254,0.1339452713727951
1,0.024614892899990082,0.024614892899990082,0.13210825622081757,0.0194539912045002,0.0194539912045002,0.11494920402765274
2,0.02006571739912033,0.02006571739912033,0.11884762346744537,0.02999543771147728,0.02999543957412243,0.1494320034980774
3,0.020208682864904404,0.020208682864904404,0.11891137063503265,0.019017398357391357,0.019017398357391357,0.10907107591629028
4,0.01791747845709324,0.01791747845709324,0.11132053285837173,0.01635650359094143,0.01635650359094143,0.10350781679153442
0,0.020576762035489082,0.020576762035489082,0.1165907010436058,0.014850419946014881,0.014850419946014881,0.09425702691078186
1,0.014959470368921757,0.014959469437599182,0.09647476673126221,0.02338026650249958,0.02338026650249958,0.12468484044075012
2,0.013712896965444088,0.013712896965444088,0.09146550297737122,0.01299938466399908,0.01299938466399908,0.08616644889116287
3,0.011734949424862862,0.011734949424862862,0.0838266909122467,0.012315474450588226,0.012315474450588226,0.08170844614505768
4,0.011514226906001568,0.011514226906001568,0.08102303743362427,0.012028775177896023,0.012028775177896023,0.08221914619207382
0,0.009658501483500004,0.009658501483500004,0.0749293714761734,0.009179022163152695,0.009179022163152695,0.07457844167947769
1,0.010570063255727291,0.010570063255727291,0.07936838269233704,0.009335245005786419,0.009335245005786419,0.07792879641056061
2,0.009003784507513046,0.009003784507513046,0.07177159190177917,0.00915834866464138,0.00915834866464138,0.0755806714296341
3,0.008303222246468067,0.008303222246468067,0.06939036399126053,0.007401349488645792,0.007401349488645792,0.06724917888641357
4,0.007782699074596167,0.007782699074596167,0.06492709368467331,0.008570083416998386,0.008570083416998386,0.07562655210494995
0,0.006083830259740353,0.006083830259740353,0.05928392335772514,0.005789525806903839,0.005789525806903839,0.06312655657529831
1,0.006048728246241808,0.006048728246241808,0.0583365224301815,0.007056817412376404,0.007056817412376404,0.07074377685785294
2,0.005965278018265963,0.005965278018265963,0.05846435949206352,0.006171221379190683,0.006171221379190683,0.0632462427020073
3,0.005967119708657265,0.005967119708657265,0.05824488028883934,0.005526368506252766,0.005526368506252766,0.05950833484530449
4,0.005972869694232941,0.005972869694232941,0.05901946499943733,0.010911820456385612,0.010911820456385612,0.08535352349281311
0,0.006292227655649185,0.006292227655649185,0.06005312129855156,0.0035561982076615095,0.0035561982076615095,0.048937007784843445
1,0.005512531381100416,0.005512531381100416,0.05595121532678604,0.005081610754132271,0.005081610754132271,0.06191642954945564
2,0.0050821853801608086,0.0050821853801608086,0.05436600372195244,0.004894175101071596,0.004894175101071596,0.05637010559439659
3,0.005916837137192488,0.005916837137192488,0.05819327384233475,0.008732314221560955,0.008732314221560955,0.07742223143577576
4,0.0060647097416222095,0.0060647097416222095,0.06047219783067703,0.004733056295663118,0.004733056295663118,0.05943210422992706
0,0.006377504672855139,0.006377504672855139,0.06036922708153725,0.004750113934278488,0.004750113934278488,0.0563567616045475
1,0.0066858078353106976,0.0066858078353106976,0.061994925141334534,0.006078824400901794,0.006078824400901794,0.0629451647400856
2,0.005478891544044018,0.005478891544044018,0.05673676356673241,0.00573096564039588,0.00573096564039588,0.0629381462931633
3,0.005010197404772043,0.005010197404772043,0.05363449826836586,0.005369995720684528,0.005369995720684528,0.06019825115799904
4,0.00505154998973012,0.00505154998973012,0.05376097187399864,0.004095330834388733,0.004095330834388733,0.051492054015398026
0,0.005956064909696579,0.005956064909696579,0.0594022274017334,0.005621110089123249,0.005621110089123249,0.05963413789868355
1,0.0052369944751262665,0.0052369944751262665,0.055548619478940964,0.004729418084025383,0.004729418084025383,0.0562090165913105
2,0.005098797380924225,0.005098797380924225,0.054403141140937805,0.005120237823575735,0.005120237823575735,0.061479054391384125
3,0.0049812402576208115,0.0049812402576208115,0.053068529814481735,0.005171190481632948,0.005171190481632948,0.0517682321369648
4,0.005489660426974297,0.005489660426974297,0.056279007345438004,0.004313193261623383,0.004313193261623383,0.05797610804438591
0,0.005095952656120062,0.005095952656120062,0.054657235741615295,0.005637935362756252,0.005637935362756252,0.06329064071178436
1,0.005322882439941168,0.005322882439941168,0.05619710683822632,0.005577517207711935,0.005577517207711935,0.06063005328178406
2,0.0054271891713142395,0.0054271891713142395,0.056487344205379486,0.0044312854297459126,0.0044312854297459126,0.055223774164915085
3,0.0044258832931518555,0.0044258832931518555,0.05125727131962776,0.0060515087097883224,0.0060515087097883224,0.06708407402038574
4,0.005019801203161478,0.005019801203161478,0.05442152917385101,0.004252701066434383,0.004252701066434383,0.05321432277560234
0,0.005777305457741022,0.005777305457741022,0.058031536638736725,0.004280657973140478,0.004280657973140478,0.05411158874630928
1,0.004756871610879898,0.004756871610879898,0.053042151033878326,0.003828101558610797,0.003828101558610797,0.05380262807011604
2,0.004914956167340279,0.004914956167340279,0.05376378819346428,0.003809018526226282,0.003809018526226282,0.04918339475989342
3,0.004525940865278244,0.004525940865278244,0.05142010748386383,0.004597584251314402,0.004597584251314402,0.053128499537706375
4,0.0045982724986970425,0.0045982724986970425,0.05183609202504158,0.004478451330214739,0.004478451330214739,0.057948026806116104
